frame,est_x,est_y
0,2796.3340759277344,1529.6510553359985
1,2742.8919982910156,1527.3434114456177
2,2810.1070404052734,1530.8846998214722
3,2739.8311614990234,1528.268322944641
4,2592.058639526367,1516.1461114883423
5,2637.517318725586,1534.6722793579102
6,2609.3833923339844,1496.2149381637573
7,2602.767333984375,1473.774118423462
8,2546.4976501464844,1474.654483795166
9,2459.6756744384766,1471.1868381500244
10,2420.7076263427734,1444.8842811584473
11,2451.9699096679688,1459.1408443450928
12,2533.8885498046875,1473.621940612793
13,2520.651168823242,1485.1644086837769
14,2557.8451538085938,1506.2898302078247
15,2462.2952270507812,1518.8126993179321
16,2487.491912841797,1504.5633459091187
17,2489.5735931396484,1525.2837324142456
18,2460.7532501220703,1528.9594316482544
19,2460.7532501220703,1528.9594316482544
20,2452.5501251220703,1526.5275478363037
21,2410.806655883789,1523.748435974121
22,2397.03369140625,1523.1617403030396
23,2379.1092681884766,1526.7133283615112
24,2378.506393432617,1526.4246797561646
25,2414.9622344970703,1514.0957021713257
26,2407.3665618896484,1515.6213426589966
27,2407.3665618896484,1515.6213426589966
28,2407.3665618896484,1515.6213426589966
29,2407.9122161865234,1516.7028093338013
30,2401.8257904052734,1516.43385887146
31,2382.223892211914,1525.4135084152222
32,2382.223892211914,1525.4135084152222
33,2315.665054321289,1541.0878229141235
34,2172.0764923095703,1538.4370708465576
35,2172.0764923095703,1538.4370708465576
36,1988.2168579101562,1499.676661491394
37,1921.8560028076172,1485.1564264297485
38,1746.7399978637695,1455.7998847961426
39,1512.4342346191406,1354.8780584335327
40,1512.4342346191406,1354.8780584335327
41,1531.4469909667969,1382.3998403549194
42,1526.6740036010742,1382.558069229126
43,1680.860939025879,1500.8571338653564
44,1680.860939025879,1500.8571338653564
45,1631.8185424804688,1469.7584009170532
46,1647.7949523925781,1475.5147647857666
47,1634.3377304077148,1477.6177024841309
48,1624.9136352539062,1451.9745826721191
49,1592.1197891235352,1433.9712524414062
50,1421.9358444213867,1216.9262981414795
51,1635.0831985473633,1441.547441482544
52,1789.5514297485352,1499.1703033447266
53,1957.869644165039,1535.4595613479614
54,1950.9278869628906,1514.2841863632202
55,2117.779769897461,1510.1542711257935
56,2343.6529541015625,1525.424838066101
57,2396.938705444336,1529.606122970581
58,2472.8736877441406,1524.0274286270142
59,2496.4013671875,1517.7475833892822
60,2492.8722381591797,1508.1735134124756
61,2497.5498962402344,1498.2819557189941
62,2486.916732788086,1495.1981019973755
63,2478.8186645507812,1492.6978540420532
64,2475.1924896240234,1494.4233083724976
65,2466.133804321289,1489.8780584335327
66,2469.987258911133,1492.0884990692139
67,2463.2910919189453,1494.2422914505005
68,2467.5892639160156,1497.9920196533203
69,2464.9939727783203,1499.4332027435303
70,2464.3782806396484,1494.3250751495361
71,2467.0845794677734,1492.470359802246
72,2461.713180541992,1512.7213382720947
73,2431.3011932373047,1529.7150421142578
74,2443.9661407470703,1537.2742366790771
75,2480.1974487304688,1543.7456560134888
76,2484.4839477539062,1537.8529500961304
77,2466.090087890625,1545.6426000595093
78,2515.004653930664,1549.0064764022827
79,2483.174514770508,1516.7071866989136
80,2488.4701538085938,1518.432641029358
81,2488.4701538085938,1518.432641029358
82,2642.0262908935547,1532.4895191192627
83,2641.9345092773438,1530.942120552063
84,2892.8302001953125,1398.8819074630737
85,2996.9776153564453,1126.784634590149
86,2917.0257568359375,1102.5681495666504
87,3051.3949584960938,1067.643792629242
88,2986.1599731445312,1253.6332082748413
89,2940.8814239501953,1423.4166526794434
90,2987.574462890625,1183.479495048523
91,2994.6508026123047,1174.7758769989014
92,2965.348434448242,1207.3806810379028
93,2980.067367553711,1177.96452999115
94,2986.2693786621094,1154.4166231155396
95,2976.3446044921875,1141.817021369934
96,3035.625,1092.3874282836914
97,2913.519973754883,1074.113667011261
98,2838.292922973633,1066.586594581604
99,2872.613754272461,1038.997027873993
100,2833.506088256836,1107.1339988708496
101,2657.9837036132812,979.9058175086975
102,2657.9837036132812,979.9058175086975
103,2764.8880004882812,1078.7371945381165
104,2631.5320587158203,1189.805817604065
105,2737.257843017578,1210.2161836624146
106,2850.0821685791016,1179.2465829849243
107,2889.5890045166016,1334.5610332489014
108,2688.874282836914,1062.8100228309631
109,2747.9946899414062,1023.8363456726074
110,2663.4063720703125,1512.1558856964111
111,2736.8236541748047,1481.193494796753
112,2643.0853271484375,1482.982292175293
113,2599.251708984375,1505.2397775650024
114,2514.496078491211,1461.75940990448
115,2501.813735961914,1478.2978677749634
116,2573.9307403564453,1478.4394884109497
117,2562.817153930664,1484.4575929641724
118,2453.5491943359375,1514.7314500808716
119,2416.5280151367188,1524.5997047424316
120,2409.7570037841797,1509.53049659729
121,2439.7693634033203,1501.859679222107
122,2451.453094482422,1509.0236234664917
123,2437.2715759277344,1508.7693500518799
124,2427.6416015625,1507.4802160263062
125,2380.8863067626953,1505.649962425232
126,2391.5863037109375,1493.2797861099243
127,2387.779312133789,1498.9049577713013
128,2388.3192443847656,1502.8315830230713
129,2389.424057006836,1501.673641204834
130,2374.6517944335938,1502.034387588501
131,2372.742691040039,1501.0569477081299
132,2375.676498413086,1500.6224298477173
133,2361.7076110839844,1505.6912899017334
134,2342.8246307373047,1508.9475345611572
135,2346.811752319336,1513.550205230713
136,2366.0833740234375,1515.8456182479858
137,2381.590118408203,1515.0873041152954
138,2331.1573791503906,1518.5497999191284
139,2251.494369506836,1534.9980068206787
140,1892.7587127685547,1463.1542444229126
141,1709.06982421875,1327.4689292907715
142,1396.9779968261719,1000.3663301467896
143,1715.0339126586914,1322.5989818572998
144,1457.9317474365234,1000.8007192611694
145,1536.4471435546875,1151.0773372650146
146,1262.6308822631836,925.3516173362732
147,1256.286735534668,922.0353126525879
148,1266.2855529785156,951.1124753952026
149,1282.3325729370117,965.6267881393433
150,1296.2815475463867,928.8454627990723
151,1306.1850357055664,925.2020144462585
152,1341.943244934082,937.4326944351196
153,1339.8288345336914,935.9960174560547
154,1308.2844543457031,912.9760980606079
155,1276.3888549804688,908.716471195221
156,1287.1538543701172,881.1278700828552
157,1389.2609024047852,931.7678689956665
