frame,est_x,est_y
158,1358.133201599121,973.9211225509644
159,1354.4623947143555,982.3626780509949
160,1873.2006454467773,1433.9950704574585
161,2159.648895263672,1526.4684534072876
162,2167.2608184814453,1532.6653861999512
163,2185.6555938720703,1527.5991010665894
164,2194.2503356933594,1519.8319816589355
165,2285.8456420898438,1524.123215675354
166,2336.0879516601562,1520.945119857788
167,2373.0004119873047,1521.6551542282104
168,2436.1537170410156,1508.6251544952393
169,2484.7100830078125,1507.3768329620361
170,2484.8309326171875,1508.6556673049927
171,2479.4613647460938,1503.9581108093262
172,2479.3505859375,1503.5187005996704
173,2475.1593017578125,1510.2607440948486
174,2477.215576171875,1511.5555429458618
175,2466.5055084228516,1512.875576019287
176,2464.669418334961,1509.5171070098877
177,2448.7261962890625,1519.471492767334
178,2471.176528930664,1532.2814655303955
179,2436.2818908691406,1525.727777481079
180,2432.2203826904297,1526.4251947402954
181,2432.2203826904297,1526.4251947402954
182,2432.2203826904297,1526.4251947402954
183,2411.7713928222656,1538.3491373062134
184,2414.1412353515625,1537.255311012268
185,2414.1412353515625,1537.255311012268
186,2679.1836547851562,1504.9963188171387
187,2924.2955017089844,1372.7933263778687
188,2828.3814239501953,1365.6963300704956
189,2629.618606567383,1059.824595451355
190,2427.2362518310547,977.8601717948914
191,2378.100814819336,1050.5144548416138
192,2479.3528747558594,1189.8761129379272
193,2926.0970306396484,1118.6241960525513
194,2955.7386016845703,1130.900902748108
195,2969.308090209961,1116.6863107681274
196,3032.3414611816406,1066.5542149543762
197,3025.5368041992188,1067.940809726715
198,3018.6273193359375,1089.3948554992676
199,3019.56298828125,1092.4095726013184
200,3015.029067993164,1174.609408378601
201,3026.2486267089844,1079.0269374847412
202,3020.8547973632812,1118.0011940002441
203,3017.0855712890625,1131.903190612793
204,2987.4954986572266,1129.5582103729248
